Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
LIVER_SPONTANEOUS_8	1336	0.958	374.721	28.048%	51.658	29.688%	0.063
LIVER_COBALT_3	1666	0.972	373.343	22.41%	51.083	24.109%	0.0446
LIVER_VINYLIDENE_CHLORIDE_5	1003	0.929	366.387	36.529%	49.565	37.713%	0.1056
LIVER_SPONTANEOUS_11	2290	0.981	434.841	18.989%	57.773	19.428%	0.0411
LIVER_ISOBUTYL_NITRITE_2	1254	0.972	277.865	22.158%	37.839	23.524%	0.049
LIVER_NICKEL_SULFATE_3	832	0.929	299.132	35.953%	41.486	38.014%	0.1228
LIVER_SODIUM_TUNGSTATE_DIHYDRATE_6	1964	0.982	366.089	18.64%	47.676	19.416%	0.0325
LIVER_ISOBUTYL_NITRITE_3	442	0.908	201.492	45.586%	25.818	43.541%	0.2168
LIVER_NICKEL_SUBSULFIDE_2	1411	0.954	410.083	29.063%	56.892	30.307%	0.074
LIVER_NICKEL_SUBSULFIDE_1	2385	0.972	520.097	21.807%	73.393	24.014%	0.0534
LIVER_VINYLIDENE_CHLORIDE_4	1704	0.966	366.68	21.519%	58.729	26.039%	0.0647
LIVER_ANTIMONY_TRIOXIDE_3	789	0.935	269.277	34.129%	37.245	36.84%	0.1166
LIVER_SODIUM_TUNGSTATE_DIHYDRATE_5	1706	0.974	358.569	21.018%	51.811	22.871%	0.0407
STOMACH_1,2,3_TRICHLOROPROPANE_1	42065	0.995	3895.191	9.26%	623.553	10.752%	0.0064
LIVER_1,2,3_TRICHLOROPROPANE_2	16232	0.991	2404.15	14.811%	346.468	15.273%	0.0208
STOMACH_1,2,3_TRICHLOROPROPANE_5	24795	0.987	4193.98	16.915%	641.682	16.107%	0.0253
LIVER_1,2,3_TRICHLOROPROPANE_4	4158	0.985	653.97	15.728%	94.108	17.58%	0.0232
STOMACH_1,2,3_TRICHLOROPROPANE_4	51429	0.998	3164.0	6.152%	552.932	7.077%	0.0045
STOMACH_1,2,3_TRICHLOROPROPANE_2	19720	0.99	2836.329	14.383%	420.437	14.252%	0.0198
STOMACH_1,2,3_TRICHLOROPROPANE_3	45484	0.998	2666.198	5.862%	424.449	6.446%	0.0032
LUNG_NICKEL_SULFATE_6	763	0.896	300.211	39.346%	47.506	44.771%	0.1429
LUNG_SODIUM_TUNGSTATE_DIHYDRATE_5	952	0.961	284.878	29.924%	41.105	27.628%	0.0906
LUNG_VINYLIDENE_CHLORIDE_1	1524	0.966	369.726	24.26%	53.664	25.83%	0.0521
LUNG_VINYLIDENE_CHLORIDE_3	963	0.957	270.305	28.069%	37.454	29.278%	0.0896
LUNG_NICKEL_OXIDE_2	1416	0.932	509.443	35.978%	79.632	36.485%	0.1185
LUNG_ANTIMONY_TRIOXIDE_3	1357	0.953	388.579	28.635%	60.934	31.474%	0.0824
LUNG_SODIUM_TUNGSTATE_DIHYDRATE_2	583	0.908	241.349	41.398%	37.886	41.907%	0.1514
LUNG_SODIUM_TUNGSTATE_DIHYDRATE_4	912	0.956	276.882	30.36%	39.412	30.364%	0.0923
