Type	DBS1	DBS2	DBS3	DBS4	DBS5	DBS6	DBS7	DBS8	DBS9	DBS10	DBS11																																																						
CC>AT	 0.018704754000 	 0.100021165479 	 0.005887517116 	 0.015707044072 	 0.002429797865 	 0.000438094002 	 0.000851631210 	 0.028789759483 	 0.019493514508 	 0.010500455090 	 0.034497647950 																																																						
CC>GA	 0.000134034066 	 0.017703746290 	 0.000634732321 	 0.003551592768 	 0.000067594377 	 0.035507618905 	 0.000301869279 	 0.000808712341 	 0.010996341517 	 0.003390146929 	 0.000952935029 																																																						
CC>GG	 0.000098224965 	 0.000450095245 	 0.000072469438 	 0.000073032753 	 0.000011899010 	 0.018103884569 	 0.002049112652 	 0.000055980088 	 0.003058982277 	 0.000000000000 	 0.003449764795 																																																						
CC>GT	 0.006921759234 	 0.001100232820 	 0.000000000000 	 0.000079935848 	 0.000024797937 	 0.003440738283 	 0.000162929445 	 0.000228918574 	 0.017894046651 	 0.001080046809 	 0.069495261813 																																																						
CC>TA	 0.010402643936 	 0.016003386477 	 0.020791231922 	 0.000170076273 	 0.001269894357 	 0.002220476450 	 0.000000000000 	 0.000715745409 	 0.000686771511 	 0.023901035871 	 0.058795991289 																																																						
CC>TG	 0.002550648273 	 0.000237050162 	 0.000028987775 	 0.000008303724 	 0.004809599889 	 0.006871474419 	 0.000235897847 	 0.004208503035 	 0.015494844865 	 0.000000000000 	 0.032297797936 																																																						
CC>TT	 0.858218124719 	 0.000000000000 	 0.000000000000 	 0.000000000000 	 0.000000000000 	 0.000000000000 	 0.000000000000 	 0.004378442588 	 0.000000000000 	 0.020600892843 	 0.331977365783 																																																						
CG>AT	 0.000000603153 	 0.001150243403 	 0.000283880282 	 0.000290130113 	 0.001639863580 	 0.007541618213 	 0.000062073120 	 0.000321885505 	 0.000218927163 	 0.000000000000 	 0.001819875921 																																																						
CG>GC	 0.000005421378 	 0.000369078101 	 0.000000000000 	 0.000005102288 	 0.000099191748 	 0.000590126624 	 0.000186919057 	 0.000000000000 	 0.000011996009 	 0.000019000823 	 0.000165988683 																																																						
CG>GT	 0.000001700432 	 0.001280270918 	 0.000000000000 	 0.000000000000 	 0.006479460974 	 0.003220691067 	 0.000020691040 	 0.001209569756 	 0.000099366941 	 0.000010200442 	 0.001179919553 																																																						
CG>TA	 0.000356090504 	 0.000000000000 	 0.097858731016 	 0.000000000000 	 0.000000000000 	 0.000000000000 	 0.000000000000 	 0.000505820080 	 0.000000000000 	 0.358015516392 	 0.000000000000 																																																						
CG>TC	 0.000012603203 	 0.002150455058 	 0.000721695647 	 0.000000000000 	 0.000029797521 	 0.008911912238 	 0.000048678920 	 0.000904678206 	 0.000132955766 	 0.002650114856 	 0.000684953300 																																																						
CG>TT	 0.000124031524 	 0.005561176801 	 0.007166977542 	 0.000361161969 	 0.002219815334 	 0.018704013339 	 0.000031286452 	 0.000328883016 	 0.000082872428 	 0.007770336766 	 0.000698952345 																																																						
CT>AA	 0.000027707042 	 0.003210679412 	 0.000102956581 	 0.000000000000 	 0.465961236685 	 0.004480961484 	 0.000000000000 	 0.020592675185 	 0.000000000000 	 0.003930170334 	 0.004399700028 																																																						
CT>AC	 0.000419106520 	 0.000000000000 	 0.029087733121 	 0.000000000000 	 0.208982614736 	 0.001950418503 	 0.000000000000 	 0.013995021971 	 0.000000000000 	 0.013000563444 	 0.002349839788 																																																						
CT>AG	 0.000000000000 	 0.000587124241 	 0.113951944186 	 0.000363162866 	 0.026697779012 	 0.039508477373 	 0.001259454606 	 0.020392746300 	 0.000581806433 	 0.026501148560 	 0.000495966185 																																																						
CT>GA	 0.000089222677 	 0.000018103831 	 0.000017192749 	 0.000673301953 	 0.016098660752 	 0.007341575289 	 0.001869190566 	 0.005568019455 	 0.002839055446 	 0.000000000000 	 0.011599209166 																																																						
CT>GC	 0.000252064065 	 0.000134028362 	 0.000026888661 	 0.000072232394 	 0.004849596562 	 0.001790384165 	 0.015593247500 	 0.000236915729 	 0.003108965647 	 0.000000000000 	 0.006109583449 																																																						
CT>GG	 0.000010802746 	 0.000089819007 	 0.000059874750 	 0.000926415466 	 0.000569952586 	 0.006811461542 	 0.003998268590 	 0.000305891195 	 0.010396541071 	 0.000000000000 	 0.004019725935 																																																						
CT>TA	 0.007811985494 	 0.003380715393 	 0.000183922436 	 0.000000000000 	 0.003339722169 	 0.000088418972 	 0.000000000000 	 0.010896124249 	 0.000000000000 	 0.004030174668 	 0.041697157088 																																																						
CT>TC	 0.010502669358 	 0.000038408128 	 0.006337327422 	 0.000000000000 	 0.000236980286 	 0.000000000000 	 0.063172643718 	 0.017793670791 	 0.000029990022 	 0.002750119190 	 0.002989796156 																																																						
CT>TG	 0.002240569463 	 0.000390082545 	 0.052177995496 	 0.000030813819 	 0.000873927298 	 0.011202403711 	 0.000000000000 	 0.000965656516 	 0.000000000000 	 0.045701980724 	 0.001479899100 																																																						
GC>AA	 0.001580401675 	 0.005081075206 	 0.000021590895 	 0.328147162780 	 0.000132988937 	 0.000000000000 	 0.000000000000 	 0.012895413102 	 0.000000000000 	 0.004080176835 	 0.000999931825 																																																						
GC>AG	 0.000107027202 	 0.000325068788 	 0.000521779955 	 0.011305069937 	 0.002659778733 	 0.003660785498 	 0.000072968402 	 0.008516970514 	 0.123958758921 	 0.000000000000 	 0.003289775703 																																																						
GC>AT	 0.000048712381 	 0.000953201707 	 0.003988318047 	 0.009244145683 	 0.001569869403 	 0.001880403480 	 0.000349848502 	 0.005508040790 	 0.125958093742 	 0.007750335900 	 0.027198145630 																																																						
GC>CA	 0.000057614643 	 0.001060224354 	 0.000236900094 	 0.011905339137 	 0.004579619021 	 0.008691865022 	 0.000669709989 	 0.004828282580 	 0.027390887052 	 0.000105004551 	 0.002109856150 																																																						
GC>CG	 0.000005151309 	 0.000066914160 	 0.000000000000 	 0.000000983441 	 0.000322973132 	 0.000000000000 	 0.002648852941 	 0.000241913951 	 0.002499168527 	 0.000000000000 	 0.004039724572 																																																						
GC>TA	 0.000000827210 	 0.000736155778 	 0.004228216876 	 0.017707941406 	 0.000221981533 	 0.000829177918 	 0.000006237299 	 0.008556956291 	 0.013995343749 	 0.002810121791 	 0.000242983433 																																																						
TA>AT	 0.000505128383 	 0.002750582051 	 0.001449388764 	 0.030413639477 	 0.001869844448 	 0.008571839268 	 0.055775846827 	 0.009696550937 	 0.015494844865 	 0.010400450756 	 0.002229847969 																																																						
TA>CG	 0.000007551919 	 0.000018904000 	 0.003338592049 	 0.000389174531 	 0.000007889344 	 0.000259055586 	 0.003048679800 	 0.000020892569 	 0.001349551004 	 0.004110178135 	 0.000583960186 																																																						
TA>CT	 0.000702178466 	 0.000280059263 	 0.000343854989 	 0.008723912376 	 0.002269811174 	 0.026105601505 	 0.029087403991 	 0.004098542149 	 0.014195277231 	 0.001620070214 	 0.003379769567 																																																						
TA>GC	 0.000020105110 	 0.000082217398 	 0.001989161131 	 0.000070231496 	 0.000052195658 	 0.000264056659 	 0.001509346393 	 0.000788719452 	 0.000578807431 	 0.000000000000 	 0.001019930461 																																																						
TA>GG	 0.000070317872 	 0.000078916700 	 0.005457698379 	 0.002220996041 	 0.001629864412 	 0.000218046787 	 0.004308134405 	 0.000216922841 	 0.003248919085 	 0.008590372307 	 0.000374974434 																																																						
TA>GT	 0.001150292358 	 0.001300275151 	 0.000361847402 	 0.008063616256 	 0.001909841120 	 0.000062513414 	 0.026288615978 	 0.000152945597 	 0.007777412455 	 0.003610156464 	 0.002669817972 																																																						
TC>AA	 0.000010902771 	 0.001450306899 	 0.005487685733 	 0.379170044797 	 0.040396639404 	 0.045809829461 	 0.019591516090 	 0.038786203747 	 0.003688772745 	 0.007560327665 	 0.000216985206 																																																						
TC>AG	 0.000003090786 	 0.000200042331 	 0.000006137412 	 0.001870839007 	 0.014898760572 	 0.008281777029 	 0.000003998269 	 0.011595875347 	 0.046684468077 	 0.000271011746 	 0.047396768488 																																																						
TC>AT	 0.002460625393 	 0.000000000000 	 0.001119527873 	 0.008413773290 	 0.000747937779 	 0.000594127483 	 0.002289008768 	 0.018493421890 	 0.051782771872 	 0.003090133926 	 0.084594232365 																																																						
TC>CA	 0.000004421124 	 0.000682144349 	 0.065472388984 	 0.084637957229 	 0.001429881048 	 0.011802532481 	 0.002708826970 	 0.017593741906 	 0.048783769640 	 0.025201092215 	 0.000281980775 																																																						
TC>CG	 0.000033008389 	 0.000003890823 	 0.000115951101 	 0.000400179467 	 0.000000000000 	 0.000862185000 	 0.001629294450 	 0.010896124249 	 0.007787409129 	 0.000842036494 	 0.003239779112 																																																						
TC>CT	 0.001900483027 	 0.003350709044 	 0.019391822081 	 0.000008283715 	 0.001049912658 	 0.009392015254 	 0.009186022085 	 0.008756885176 	 0.051382904908 	 0.026201135557 	 0.020098629675 																																																						
TC>GA	 0.000064216321 	 0.000885187314 	 0.077767204015 	 0.036416331479 	 0.000024597954 	 0.007341575289 	 0.000000000000 	 0.009606582938 	 0.017294246204 	 0.043801898374 	 0.000234983979 																																																						
TC>GG	 0.000411104486 	 0.000009872089 	 0.000176925387 	 0.000010404666 	 0.000034797105 	 0.001510324072 	 0.000705694406 	 0.001909320855 	 0.003728759442 	 0.000000000000 	 0.007329500275 																																																						
TC>GT	 0.005101296546 	 0.000085718139 	 0.043381705067 	 0.000000000000 	 0.000038596789 	 0.000000000000 	 0.000000000000 	 0.000275901862 	 0.000000000000 	 0.045901989392 	 0.015198963735 																																																						
TG>AA	 0.001370348288 	 0.002960626498 	 0.000066771841 	 0.007633423329 	 0.017998502705 	 0.025505472735 	 0.022590217532 	 0.008646924289 	 0.015794745088 	 0.001420061545 	 0.007829466187 																																																						
TG>AC	 0.000237060251 	 0.000220046564 	 0.000080366108 	 0.000118052943 	 0.001459878553 	 0.010102167632 	 0.002618865926 	 0.003848631042 	 0.007267582075 	 0.000207008972 	 0.000865940960 																																																						
TG>AT	 0.002410612681 	 0.004290907999 	 0.000957596163 	 0.000000000000 	 0.020398303065 	 0.221047430368 	 0.001289441620 	 0.008217077186 	 0.000745751888 	 0.002500108355 	 0.010499284159 																																																						
TG>CA	 0.000279070929 	 0.000144030478 	 0.015893297479 	 0.000804360728 	 0.000475960405 	 0.011402446634 	 0.023889654824 	 0.005058200798 	 0.022792416963 	 0.029201265583 	 0.056096175363 																																																						
TG>CC	 0.000103026185 	 0.000059412572 	 0.000483795974 	 0.000120053840 	 0.000505957909 	 0.007891693329 	 0.001049545505 	 0.001249555533 	 0.011796075446 	 0.000190008235 	 0.003129786611 																																																						
TG>CT	 0.001850470316 	 0.003070649780 	 0.006067441239 	 0.000082136836 	 0.000327972716 	 0.275059019689 	 0.000000000000 	 0.019493066316 	 0.000967678054 	 0.004330187670 	 0.005579619582 																																																						
TG>GA	 0.000407103469 	 0.001470311133 	 0.000522779533 	 0.007853522036 	 0.003269727991 	 0.007441596751 	 0.008246428966 	 0.000270903640 	 0.006177944598 	 0.000020200876 	 0.007309501638 																																																						
TG>GC	 0.000088922601 	 0.000272057570 	 0.000497790072 	 0.000604270995 	 0.000291975711 	 0.005601201855 	 0.003878320532 	 0.003538741270 	 0.003908699576 	 0.000000000000 	 0.006119582767 																																																						
TG>GT	 0.001900483027 	 0.006401354591 	 0.010295658115 	 0.000032314492 	 0.082693120759 	 0.027405880507 	 0.008706229854 	 0.007857205192 	 0.003338889152 	 0.002170094052 	 0.005239642761 																																																						
TT>AA	 0.005491395693 	 0.004310912232 	 0.003218642634 	 0.000018008076 	 0.004919590739 	 0.000193041421 	 0.234898279649 	 0.003578727047 	 0.000340886587 	 0.014500628457 	 0.004769674804 																																																						
TT>AC	 0.000720183042 	 0.000345073021 	 0.002428975652 	 0.000000660296 	 0.000965919645 	 0.000128027471 	 0.039982685898 	 0.000000000000 	 0.006657784955 	 0.000000000000 	 0.001039929098 																																																						
TT>AG	 0.000418106266 	 0.000215045506 	 0.022890346683 	 0.000000000000 	 0.000892925718 	 0.002120454988 	 0.053876669247 	 0.014594808627 	 0.000917694683 	 0.006960301659 	 0.001269913417 																																																						
TT>CA	 0.000725184313 	 0.000000000000 	 0.000693707450 	 0.000000000000 	 0.000000000000 	 0.000000000000 	 0.097657710305 	 0.006287763443 	 0.000000000000 	 0.001290055911 	 0.002019862286 																																																						
TT>CC	 0.005421377897 	 0.000002980631 	 0.008156560215 	 0.000000000000 	 0.000772935699 	 0.000000000000 	 0.035384677019 	 0.000293895461 	 0.005158283839 	 0.002880124825 	 0.003999727299 																																																						
TT>CG	 0.000083821304 	 0.000015203217 	 0.031786594957 	 0.000000000000 	 0.000000000000 	 0.000011202404 	 0.002668844284 	 0.000115958753 	 0.000019793415 	 0.008580371873 	 0.000000000000 																																																						
TT>GA	 0.001860472858 	 0.000047910138 	 0.012294815031 	 0.000000000000 	 0.000029897513 	 0.000000000000 	 0.043581127628 	 0.003628709268 	 0.000000000000 	 0.008690376641 	 0.000706951800 																																																						
TT>GC	 0.001060269478 	 0.000001540326 	 0.066471967442 	 0.000000000000 	 0.000056595292 	 0.000000409088 	 0.003668411431 	 0.000285898306 	 0.000035588160 	 0.025801118220 	 0.000005779606 																																																						
TT>GG	 0.001610409302 	 0.000000000000 	 0.170927916279 	 0.000000000000 	 0.000000000000 	 0.000000000000 	 0.000000000000 	 0.000537808701 	 0.000000000000 	 0.084703671057 	 0.000000000000 																																																						
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
